Titel,Journal,Year,Autoren,doi,pmid,Quelle,doi_norm,Titel_norm,Inkludiere_Titel_Abstract,Inkludiere_Volltext,Erster_Ausschlussgrund,Zweiter_Ausschlussgrund,Dritter_Ausschlussgrund,Vierter_Ausschlussgrund,Notizen
An investigation into how the timing of nutritional supplements affects the recovery from post-exercise fatigue: a systematic review and meta-analysis.,Frontiers in nutrition,2025,Cheng G; Zhang Z; Shi Z; Qiu Y,10.3389/fnut.2025.1567438,40352254,PubMed,10.3389/fnut.2025.1567438,an investigation into how the timing of nutritional supplements affects the recovery from post exercise fatigue a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
Análisis de los biomarcadores de daño muscular y su correlación con el marcador de fatiga CMJ en patinadores de fondo a 2600msnm,,2019,"Narvaez Muñoz, Ronald Alberth",,,BASE,,an lisis de los biomarcadores de da o muscular y su correlaci n con el marcador de fatiga cmj en patinadores de fondo a 2600msnm,Nein,Nein,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,,,
Analysis of physical exercise in Heart Failure ; Análisis del ejercicio físico en la Insuficiencia Cardíaca,,2021,"Romero Gómez, Juan Ramón; Tárraga Marcos, Loreto; Romero Gomez, Beatriz; Tárraga Lópe, Pedro J.",,,BASE,,analysis of physical exercise in heart failure an lisis del ejercicio f sico en la insuficiencia card aca,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Anthropometric Characteristics and Performance Capabilities of Highly Trained Motocross Athletes Compared With Physically Active Men.,Journal of strength and conditioning research,2015,Bach CW; Brown AF; Kinsey AW; Ormsbee MJ,10.1519/JSC.0000000000000988,25992659,PubMed,10.1519/jsc.0000000000000988,anthropometric characteristics and performance capabilities of highly trained motocross athletes compared with physically active men,Nein,Nein,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,,,
Association between 24-hour movement guidelines and physical fitness in children.,Pediatrics international : official journal of the Japan Pediatric Society,2020,Tanaka C; Tremblay MS; Okuda M; Tanaka S,10.1111/ped.14322,32472725,PubMed,10.1111/ped.14322,association between 24 hour movement guidelines and physical fitness in children,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,,,
Autonomic nervous system responses to strength training in top-level weight lifters.,Physiological reports,2019,Iellamo F; Lucini D; Volterrani M; Casasco M; Salvati A; Gianfelici A; Di Gianfrancesco A; Urso A; Manzi V,10.14814/phy2.14233,31642195,PubMed,10.14814/phy2.14233,autonomic nervous system responses to strength training in top level weight lifters,Nein,Nein,Kein HIIT oder Krafttraining,Kein Kraft- und/oder Power-Outcome,,,
"Benefits of self-paced concurrent training on lung function, cardiopulmonary fitness and fatigue perception in patients with multiple sclerosis.",,2024,"Jallouli, Sonda; Maaloul, Rami; Ghroubi, Sameh; Kammoun, Rim; Damak, Mariem; Sakka, Salma; Driss, Tarak; de Marco, Giovanni; Mhiri, Chokri; Elleuch, Mohamed Habib; Feki, Walid; Hammouda, Omar",,,BASE,,benefits of self paced concurrent training on lung function cardiopulmonary fitness and fatigue perception in patients with multiple sclerosis,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Bibliometric analysis of therapeutic exercises for cardiac rehabilitation: From 2000 to 2024,Science & Sports,2025,"Shi, C.; Liu, H.; Li, Y.; Fu, T.; Zhao, H.; Guo, X.",https://doi.org/10.1016/j.scispo.2025.02.013,,ScienceDirect,10.1016/j.scispo.2025.02.013,bibliometric analysis of therapeutic exercises for cardiac rehabilitation from 2000 to 2024,Nein,Nein,Review / Kein Originalartikel,Falsche Population,Kein HIIT oder Krafttraining,,
Blood-borne markers of fatigue in competitive athletes - Results from simulated training camps,,2016,"Hecksteden, A.; Skorski, S.; Schwindling, S.; Hammes, D.; Pfeiffer, M.; Kellmann, M.; Ferrauti, A.; Meyer, T.",10.1371/journal.pone.0148810,,SPONET,10.1371/journal.pone.0148810,blood borne markers of fatigue in competitive athletes results from simulated training camps,Nein,Nein,Kein Kraft- und/oder Power-Outcome,Keine Kombination von Krafttraining und HIIT,,,
Blood lactate diagnostics in exercise testing and training.,International journal of sports physiology and performance,2011,Beneke R; Leithäuser RM; Ochentel O,10.1123/ijspp.6.1.8,21487146,PubMed,10.1123/ijspp.6.1.8,blood lactate diagnostics in exercise testing and training,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Body Recomposition: Would it be possible to induce fat loss and muscle hypertrophy at the same time? ¿Sería posible inducir la pérdida de peso y la hipertrofia muscular al mismo tiempo? ; Recomposición Corporal:: ¿Sería posible inducir la pérdida de peso y la hipertrofia muscular al mismo tiempo? ; Recomposição Corporal: Seria possível induzir emagrecimento e hipertrofia muscular ao mesmo tempo? ¿Sería posible inducir la pérdida de peso y la hipertrofia muscular al mismo tiempo?,,2023,"Del Vecchio, Fabricio Boscolo",,,BASE,,body recomposition would it be possible to induce fat loss and muscle hypertrophy at the same time ser a posible inducir la p rdida de peso y la hipertrofia muscular al mismo tiempo recomposici n corporal ser a posible inducir la p rdida de peso y la hipertrofia muscular al mismo tiempo recomposi o corporal seria poss vel induzir emagrecimento e hipertrofia muscular ao mesmo tempo ser a posible inducir la p rdida de peso y la hipertrofia muscular al mismo tiempo,Nein,Nein,Review / Kein Originalartikel,Sprache nicht Englisch / Deutsch,,,
Boxing,,2018,"Ruddock, A.; Wilson, D.; Hembrough, D.",,,SPONET,,boxing,Nein,Nein,Review / Kein Originalartikel,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,,
Carbohydrate restriction: Friend or foe of resistance-based exercise performance?,Nutrition,2019,"Cholewa, Jason M.; Newmire, Daniel E.; Zanchi, Nelo Eidy",https://doi.org/10.1016/j.nut.2018.09.026,,ScienceDirect,10.1016/j.nut.2018.09.026,carbohydrate restriction friend or foe of resistance based exercise performance,Nein,Nein,Review / Kein Originalartikel,,,,
Cardiorespiratory Adaptations in Elderly Men Following Different Concurrent Training Regimes,"The Journal of nutrition, health and aging",2018,"Cadore, E.L.; Pinto, R.S.; Teodoro, J.L.; da Silva, L.X.N.; Menger, E.; Alberton, C.L.; Cunha, G.; Schumann, M.; Bottaro, M.; Zambom-Ferraresi, F.; Izquierdo, Mikel",https://doi.org/10.1007/s12603-017-0958-4,,ScienceDirect,10.1007/s12603-017-0958-4,cardiorespiratory adaptations in elderly men following different concurrent training regimes,Ja,Nein,Kein HIIT oder Krafttraining,Falsche Population,,,
Cardiorespiratory Considerations in Dance: From Classes to Performances.,Journal of dance medicine & science : official publication of the International Association for Dance Medicine & Science,2015,Rodrigues-Krause J; Krause M; Reischak-Oliveira Á,10.12678/1089-313X.19.3.91,26349502,PubMed,10.12678/1089-313x.19.3.91,cardiorespiratory considerations in dance from classes to performances,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Cardiorespiratory Fitness and Performance Adaptations to High-Intensity Interval Training: Are There Differences Between Men and Women? A Systematic Review with Meta-Analyses.,"Sports medicine (Auckland, N.Z.)",2024,Lock M; Yousef I; McFadden B; Mansoor H; Townsend N,10.1007/s40279-023-01914-0,37676620,PubMed,10.1007/s40279-023-01914-0,cardiorespiratory fitness and performance adaptations to high intensity interval training are there differences between men and women a systematic review with meta analyses,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Cerebral oxygenation during cortical activation: The effect of three exercise training modalities,,2016,"Terblanche, E.; Coetsee, C.",,,SPONET,,cerebral oxygenation during cortical activation the effect of three exercise training modalities,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,,,
Changes in muscle CSA and force production of leg extensors during combined strength and endurance training in young men and women : is there any order effect?,,2013,"Syväoja, Henna",,,BASE,,changes in muscle csa and force production of leg extensors during combined strength and endurance training in young men and women is there any order effect,Ja,Nein,Kein HIIT oder Krafttraining,,,,
Chapter 12 - Physiology of Training Plan: Periodization,,2018,"Radák, Zsolt",https://doi.org/10.1016/B978-0-12-815137-2.00012-7,,ScienceDirect,10.1016/b978-0-12-815137-2.00012-7,chapter 12 physiology of training plan periodization,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Chapter 7 - Exercise Training and Metabolic Adaptation,,2016,"Hackney, Anthony C.",https://doi.org/10.1016/B978-0-12-809206-4.00016-0,,ScienceDirect,10.1016/b978-0-12-809206-4.00016-0,chapter 7 exercise training and metabolic adaptation,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
COL1A1- and COL1A2-Related Osteogenesis Imperfecta.,,1993,Rodriguez Celin M; Steiner RD; Basel D,,20301472,PubMed,,col1a1 and col1a2 related osteogenesis imperfecta,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Combined effects of very short “all out” efforts during sprint and resistance training on physical and physiological adaptations after 2 weeks of training,,2019,"Iglesias-Soler, Eliseo; Benítez-Flores, Stefano; Voltarelli, Fabrício Azevedo; Doma, Kenji; Simões, Herbert; Dos Santos Rosa, Thiago; Boullosa, Daniel; Medeiros, André Ricarte",,,BASE,,combined effects of very short all out efforts during sprint and resistance training on physical and physiological adaptations after 2 weeks of training,Nein,Nein,Reihenfolge nicht untersucht,,,,
Combined lower body endurance and upper body resistance training improves performance and health parameters in healthy active elderly.,,2006,"Verney, Julien; Kadi, Fawzi; Saafi, Mohamed A; Piehl-Aulin, Karin; JOUR",,,BASE,,combined lower body endurance and upper body resistance training improves performance and health parameters in healthy active elderly,Nein,Nein,Falsche Population,,,,
Combined strength and endurance training in competitive swimmers,,2009,"Aspenes, S.; Kjendlie, P. L.; Hoff, J.; Helgerud, J.",,,SPONET,,combined strength and endurance training in competitive swimmers,Nein,Nein,Reihenfolge nicht untersucht,,,,
COMBINING DIFFERENT CONCURRENT TRAINING METHODS IN OLDER ADULTS WITH METABOLIC SYNDROME,,2022,"Silva, Marco Antonio R. da; França, Elias de; Baptista, Liliana C.; Neves, Rafael S.; Loureiro, Helena; Caperuto, Erico C.; Veríssimo, Manuel T.; Martins, Raul A.",,,BASE,,combining different concurrent training methods in older adults with metabolic syndrome,Nein,Nein,Falsche Population,Kein Kraft- und/oder Power-Outcome,Reihenfolge nicht untersucht,,
Combining explosive and high-resistance training improves performance in cyclists,,2004,"Paton, C. D.; Hopkins, W. G.",,,SPONET,,combining explosive and high resistance training improves performance in cyclists,Nein,Nein,Reihenfolge nicht untersucht,,,,
Comparative effectiveness of school-based exercise interventions on physical fitness in children and adolescents: a systematic review and network meta-analysis,,2023,"Wu, Jin; Yang, Yuhang; Yu, Huasen; Li, Liqiang; Chen, Yanying; JOUR",,,BASE,,comparative effectiveness of school based exercise interventions on physical fitness in children and adolescents a systematic review and network meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Comparative efficacy of concurrent training types on lower limb strength and muscular hypertrophy: A systematic review and network meta-analysis,,2024,"Chen, Y.; Feng, X.; Huang, L.; Wang, K.; Mi, J.",10.1016/j.jesf.2023.12.005,,SPONET,10.1016/j.jesf.2023.12.005,comparative efficacy of concurrent training types on lower limb strength and muscular hypertrophy a systematic review and network meta analysis,Nein,Nein,Review / Kein Originalartikel,Reihenfolge nicht untersucht,,,
Comparative efficacy of various exercise types on psychophysiological outcomes in colorectal cancer survivors: a network meta-analysis.,,2025,"Batrakoulis, Alexios; Perivoliotis, Konstantinos; Courneya, Kerry S; Schmitz, Kathryn H; Schwartz, Anna L; Al-Mhanna, Sameer Badri; Liapis, Nikolaos; Tzovaras, George; Baloyiannis, Ioannis",,,BASE,,comparative efficacy of various exercise types on psychophysiological outcomes in colorectal cancer survivors a network meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Comparison of Acute Physiological and Psychological Responses Between Moderate-Intensity Continuous Exercise and Three Regimes of High-Intensity Interval Training.,Journal of strength and conditioning research,2018,Olney N; Wertz T; LaPorta Z; Mora A; Serbas J; Astorino TA,10.1519/JSC.0000000000002154,28737586,PubMed,10.1519/jsc.0000000000002154,comparison of acute physiological and psychological responses between moderate intensity continuous exercise and three regimes of high intensity interval training,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Comparison of the training load during high-intensity interval resisted training programmed by different exercise duration,,2014,"Sengoku, Y.; Tsunokawa, T.; Kobayashi, K.; Tsubakimoto, S.",,,SPONET,,comparison of the training load during high intensity interval resisted training programmed by different exercise duration,Nein,Nein,Reihenfolge nicht untersucht,,,,
Complex and Contrast Training: Does Strength and Power Training Sequence Affect Performance-Based Adaptations in Team Sports? A Systematic Review and Meta-analysis.,Journal of strength and conditioning research,2020,Cormier P; Freitas TT; Rubio-Arias JÁ; Alcaraz PE,10.1519/JSC.0000000000003493,32084104,PubMed,10.1519/jsc.0000000000003493,complex and contrast training does strength and power training sequence affect performance based adaptations in team sports a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Concurrent strength and endurance training exercise sequence does not affect neuromuscular adaptations in older men.,Experimental gerontology,2014,Wilhelm EN; Rech A; Minozzo F; Botton CE; Radaelli R; Teixeira BC; Reischak-Oliveira A; Pinto RS,10.1016/j.exger.2014.11.007,25449853,PubMed,10.1016/j.exger.2014.11.007,concurrent strength and endurance training exercise sequence does not affect neuromuscular adaptations in older men,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Concurrent strength and interval endurance training in elite water polo players,,2016,"Botonis, P. G.; Toubekis, A. G.; Platanou, T. I.",10.1519/JSC.0000000000001091,,SPONET,10.1519/jsc.0000000000001091,concurrent strength and interval endurance training in elite water polo players,Nein,Nein,Reihenfolge nicht untersucht,,,,
Concurrent Training in Rugby Sevens: Effects of High-Intensity Interval Exercises.,,2017,"Robineau, Julien; Lacome, Mathieu; Piscione, Julien; Bigard, Xavier; Babault, Nicolas",,,BASE,,concurrent training in rugby sevens effects of high intensity interval exercises,Nein,Nein,Reihenfolge nicht untersucht,,,,
Concurrent Training Programming: The Acute Effects of Sprint Interval Exercise on the Subsequent Strength Training,,2022,"Mathieu, Bertrand; Robineau, Julien; Piscione, Julien; Babault, Nicolas",,,BASE,,concurrent training programming the acute effects of sprint interval exercise on the subsequent strength training,Nein,Nein,Reihenfolge nicht untersucht,,,,
Criterion-related validity of sit-and-reach tests in university men in Hong Kong.,Perceptual and motor skills,1999,Chung PK; Yuen CK,10.2466/pms.1999.88.1.304,10214658,PubMed,10.2466/pms.1999.88.1.304,criterion related validity of sit and reach tests in university men in hong kong,Nein,Nein,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
Decreasing Power Output Increases Aerobic Contribution During Low-Volume Severe-Intensity Intermittent Exercise.,Journal of strength and conditioning research,2015,Lisbôa FD; Salvador AF; Raimundo JA; Pereira KL; de Aguiar RA; Caputo F,10.1519/JSC.0000000000000914,26308828,PubMed,10.1519/jsc.0000000000000914,decreasing power output increases aerobic contribution during low volume severe intensity intermittent exercise,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Desenvolvimento da força após 12 semanas de treinamento subsequente ao exercício aeróbio intermitente de alta intensidade,,2018,"Oliveira, Flaviane Poleto",,,BASE,,desenvolvimento da for a ap s 12 semanas de treinamento subsequente ao exerc cio aer bio intermitente de alta intensidade,Nein,Nein,Sprache nicht Englisch / Deutsch,,,,
Dette bor du legge vekt pa i trensarbeidet i host,,2007,"Aukland, F.",,,SPONET,,dette bor du legge vekt pa i trensarbeidet i host,Nein,Nein,Review / Kein Originalartikel,,,,
Dissimilar Physiological and Perceptual Responses Between Sprint Interval Training and High-Intensity Interval Training.,Journal of strength and conditioning research,2016,Wood KM; Olive B; LaValle K; Thompson H; Greer K; Astorino TA,10.1519/JSC.0000000000001042,26691413,PubMed,10.1519/jsc.0000000000001042,dissimilar physiological and perceptual responses between sprint interval training and high intensity interval training,Nein,Nein,Keine Kombination von Krafttraining und HIIT,Kein Kraft- und/oder Power-Outcome,,,
Does a single session of high-intensity interval training provoke a transient elevated risk of falling in seniors and adults?,Gerontology,2015,Donath L; Kurz E; Roth R; Hanssen H; Schmidt-Trucksäss A; Zahner L; Faude O,10.1159/000363767,25138109,PubMed,10.1159/000363767,does a single session of high intensity interval training provoke a transient elevated risk of falling in seniors and adults,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
Does concurrent high intensity interval training and resistance training impede resistance training induced hypertrophy and strength?,,2018,"Sabag, Angelo (R19940); Najafi, Abdolrahman; Michael, Scott W.; Esgin, Tuguy; Halaki, Mark; Hackett, Daniel A.",,,BASE,,does concurrent high intensity interval training and resistance training impede resistance training induced hypertrophy and strength,Nein,Nein,Review / Kein Originalartikel,Reihenfolge nicht untersucht,,,
"Does high-intensity interval training increase muscle strength, muscle mass, and muscle endurance? a systematic review and meta-analysis",,2025,"Wiens, L.; Losciale, J. M.; Fliss, M. D.; Abercrombie, M. J.; Darabi, D.; Li, J.; Barclay, R.; Mitchell, C. J.",10.3390/sports13090293,,SPONET,10.3390/sports13090293,does high intensity interval training increase muscle strength muscle mass and muscle endurance a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Does small-sided games training improve physical fitness and team-sport-specific skills? A systematic review and meta-analysis.,The Journal of sports medicine and physical fitness,2018,Hammami A; Gabbett TJ; Slimani M; Bouhlel E,10.23736/S0022-4707.17.07420-5,29072025,PubMed,10.23736/s0022-4707.17.07420-5,does small sided games training improve physical fitness and team sport specific skills a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Kein HIIT oder Krafttraining,,,
Dynamic changes in seating pressure gradient in wheelchair users with spinal cord injury.,Assistive technology : the official journal of RESNA,2020,Lung CW; Yang TD; Liau BY; Cheung WC; Jain S; Jan YK,10.1080/10400435.2018.1546781,30644792,PubMed,10.1080/10400435.2018.1546781,dynamic changes in seating pressure gradient in wheelchair users with spinal cord injury,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,Keine Kraft- und/oder Power-Outcome,,
Efecto del entrenamiento concurrente en el VO2max en futbolistas de la categoría 2012 de la Escuela Guerreros Kids de la ciudad de Cartagena,,2024,"Márquez Villa, Andrés Vicente; Acosta Vivanco, Jeison Alexander",,,BASE,,efecto del entrenamiento concurrente en el vo2max en futbolistas de la categor a 2012 de la escuela guerreros kids de la ciudad de cartagena,Nein,Nein,Falsche Population,Sprache nicht Englisch / Deutsch,,,
"Efectos de dos programas de entrenamientos en fuerza sobre composición corporal, la potencia pico y la fuerza máxima, en jóvenes adultos no entrenados",,2023,"Rangel Cristancho, Clodovaldo",,,BASE,,efectos de dos programas de entrenamientos en fuerza sobre composici n corporal la potencia pico y la fuerza m xima en j venes adultos no entrenados,Nein,Nein,Kein HIIT oder Krafttraining,Sprache nicht Englisch / Deutsch,,,
Efectos del entrenamiento de la habilidad de Sprint repetido en futbolistas de la categoría sub 13 y sub 14 del club de Fútbol Corprodep Mosquera,,2018,"Ovalle Suárez, Luis Felipe; Múnoz Baquero, Santiago",,,BASE,,efectos del entrenamiento de la habilidad de sprint repetido en futbolistas de la categor a sub 13 y sub 14 del club de f tbol corprodep mosquera,Nein,Nein,Falsche Population,Sprache nicht Englisch / Deutsch,,,
Effect of agility ladder training with a cognitive task (dual task) on physical and cognitive functions: a randomized study.,Frontiers in public health,2023,Castillo de Lima V; Castaño LAA; Sampaio RAC; Sampaio PYS; Teixeira CVL; Uchida MC,10.3389/fpubh.2023.1159343,37415705,PubMed,10.3389/fpubh.2023.1159343,effect of agility ladder training with a cognitive task dual task on physical and cognitive functions a randomized study,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
